Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 08, 2023	570.00	576.55	557.00	559.70	559.70	21,527,339
Jun 07, 2023	558.80	575.00	552.15	567.95	567.95	20,855,239
Jun 06, 2023	549.45	557.00	545.35	555.75	555.75	15,395,092
Jun 05, 2023	539.00	548.80	537.90	546.25	546.25	15,008,325
Jun 02, 2023	537.00	541.25	532.75	535.90	535.90	12,294,728
Jun 01, 2023	527.50	536.25	522.85	535.20	535.20	12,511,265
May 31, 2023	519.95	527.50	516.40	526.30	526.30	12,327,284
May 30, 2023	521.45	523.50	518.00	518.80	518.80	5,134,688
May 29, 2023	525.00	525.10	519.70	521.45	521.45	6,596,504
May 26, 2023	514.90	519.75	512.20	518.45	518.45	8,360,570
May 25, 2023	518.00	518.00	509.10	514.85	514.85	11,543,712
May 24, 2023	527.15	529.65	519.15	520.20	520.20	7,648,284
May 23, 2023	522.50	531.00	521.15	528.50	528.50	12,256,902
May 22, 2023	524.95	527.00	519.35	522.50	522.50	9,978,339
May 19, 2023	509.80	526.40	504.75	524.95	524.95	19,343,560
May 18, 2023	518.80	520.90	507.10	508.45	508.45	12,293,322
May 17, 2023	522.50	523.95	512.50	515.50	515.50	13,684,847
May 16, 2023	533.95	535.95	518.85	521.15	521.15	16,514,882
May 15, 2023	523.85	537.15	521.50	530.85	530.85	38,270,067
May 12, 2023	513.90	520.50	510.30	515.95	515.95	19,766,717
May 11, 2023	512.00	514.15	505.50	511.60	511.60	11,454,020
May 10, 2023	508.00	512.90	504.35	509.50	509.50	12,481,404
May 09, 2023	502.00	512.80	501.55	503.65	503.65	19,818,780
May 08, 2023	480.00	502.30	478.10	500.50	500.50	23,515,333
May 05, 2023	481.65	484.70	476.15	477.10	477.10	4,830,674
May 04, 2023	483.60	486.40	478.75	480.80	480.80	5,650,101
May 03, 2023	480.25	485.10	477.75	483.70	483.70	8,529,233
May 02, 2023	482.50	484.00	474.55	480.25	480.25	11,542,592
Apr 28, 2023	481.40	488.00	478.35	484.95	484.95	9,947,813
Apr 27, 2023	478.50	482.00	476.50	481.60	481.60	7,085,793
Apr 26, 2023	473.00	479.50	472.60	478.20	478.20	7,791,425
Apr 25, 2023	475.20	476.40	471.90	473.55	473.55	6,888,352
Apr 24, 2023	471.20	476.00	468.30	475.20	475.20	8,020,593
Apr 21, 2023	476.70	476.70	467.20	471.20	471.20	8,478,118
Apr 20, 2023	473.70	479.70	469.40	476.80	476.80	14,264,206
Apr 19, 2023	473.00	475.50	467.85	469.40	469.40	7,368,610
Apr 18, 2023	475.00	483.35	468.10	473.00	473.00	16,140,056
Apr 17, 2023	471.00	473.00	465.80	472.15	472.15	10,710,167
Apr 13, 2023	464.95	472.00	463.25	469.50	469.50	12,733,670
Apr 12, 2023	459.35	468.60	458.20	465.50	465.50	13,552,440
Apr 11, 2023	463.75	463.75	455.80	458.70	458.70	14,495,222
Apr 10, 2023	452.05	473.30	452.00	461.30	461.30	50,462,653
